MedID,Nome Comercial,Subs,FF,Dosage,TAIM,NewFilename,timestamp,filenameclean
30409,Seractil,Dexibuprofeno,Comprimido revestido por película,300 mg,"Jaba Recordati, S.A.",SeractilComprimido_revestido_por_película300_mg.pdf,20240325172601,SeractilComprimido_revestido_por_película300_mg
30410,Seractil,Dexibuprofeno,Comprimido revestido por película,400 mg,"Jaba Recordati, S.A.",SeractilComprimido_revestido_por_película400_mg.pdf,20240325172601,SeractilComprimido_revestido_por_película400_mg
645686,Seractil 200,Dexibuprofeno,Comprimido revestido por película,200 mg,"Jaba Recordati, S.A.",Seractil_200Comprimido_revestido_por_película200_mg.pdf,20240325172601,Seractil_200Comprimido_revestido_por_película200_mg
53652,Dexdor,Dexmedetomidina,Concentrado para solução para perfusão,100 µg/ml,Orion Corporation,DexdorConcentrado_para_solução_para_perfusão100_µg_ml.pdf,20240325172601,DexdorConcentrado_para_solução_para_perfusão100_µg_ml
632242,Dexmedetomidina Altan,Dexmedetomidina,Concentrado para solução para perfusão,100 µg/ml,Altan Pharma Ltd.,Dexmedetomidina_AltanConcentrado_para_solução_para_perfusão100_µg_ml.pdf,20240325172601,Dexmedetomidina_AltanConcentrado_para_solução_para_perfusão100_µg_ml
635622,Dexmedetomidina Ever Pharma,Dexmedetomidina,Concentrado para solução para perfusão,100 µg/ml,Ever-Valinject GmbH,Dexmedetomidina_Ever_PharmaConcentrado_para_solução_para_perfusão100_µg_ml.pdf,20240325172601,Dexmedetomidina_Ever_PharmaConcentrado_para_solução_para_perfusão100_µg_ml
645544,Dexmedetomidina Kalceks MG,Dexmedetomidina,Concentrado para solução para perfusão,100 µg/ml,"Kalceks, AS",Dexmedetomidina_Kalceks_MGConcentrado_para_solução_para_perfusão100_µg_ml.pdf,20240325172601,Dexmedetomidina_Kalceks_MGConcentrado_para_solução_para_perfusão100_µg_ml
642984,Dexmedetomidina Mylan MG,Dexmedetomidina,Concentrado para solução para perfusão,100 µg/ml,"Mylan, Lda.",Dexmedetomidina_Mylan_MGConcentrado_para_solução_para_perfusão100_µg_ml.pdf,20240325172601,Dexmedetomidina_Mylan_MGConcentrado_para_solução_para_perfusão100_µg_ml
949,Bepanthene,Dexpantenol,Creme,50 mg/g,"Bayer Portugal, Lda.",BepantheneCreme50_mg_g.pdf,20240325172601,BepantheneCreme50_mg_g
948,Bepanthene,Dexpantenol,Pomada,50 mg/g,"Bayer Portugal, Lda.",BepanthenePomada50_mg_g.pdf,20240325172601,BepanthenePomada50_mg_g
652424,Recreol,Dexpantenol,Creme,50 mg/g,AS Grindeks,RecreolCreme50_mg_g.pdf,20240325172601,RecreolCreme50_mg_g
652425,Recreol,Dexpantenol,Pomada,50 mg/g,AS Grindeks,RecreolPomada50_mg_g.pdf,20240325172601,RecreolPomada50_mg_g
950,Bepanthene Plus,Dexpantenol + Cloro-hexidina,Creme,50 mg/g + 5 mg/g,"Bayer Portugal, Lda.",Bepanthene_PlusCreme50_mg_g_+_5_mg_g.pdf,20240325172601,Bepanthene_PlusCreme50_mg_g_+_5_mg_g
40795,Savene,Dexrazoxano,Pó e solvente para concentrado para solução para perfusão,20 mg/ml,Clinigen Healthcare Ltd.,SavenePó_e_solvente_para_concentrado_para_solução_para_perfusão20_mg_ml.pdf,20240325172601,SavenePó_e_solvente_para_concentrado_para_solução_para_perfusão20_mg_ml
606503,Benflux Tosse Seca,Dextrometorfano,Solução oral,2 mg/ml,"Laboratórios Atral, S.A.",Benflux_Tosse_SecaSolução_oral2_mg_ml.pdf,20240325172601,Benflux_Tosse_SecaSolução_oral2_mg_ml
31323,Bisoltussin Tosse Seca,Dextrometorfano,Solução oral,2 mg/ml,"Opella Healthcare Portugal, Unipessoal Lda",Bisoltussin_Tosse_SecaSolução_oral2_mg_ml.pdf,20240325172602,Bisoltussin_Tosse_SecaSolução_oral2_mg_ml
599322,Broncoliber tosse seca,Dextrometorfano,Xarope,2 mg/ml,"Tecnimede - Sociedade Técnico-Medicinal, S.A.",Broncoliber_tosse_secaXarope2_mg_ml.pdf,20240325172602,Broncoliber_tosse_secaXarope2_mg_ml
572440,Calmarum tosse seca e irritativa,Dextrometorfano,Solução oral,2 mg/ml,"Sociedade Farmacêutica Gestafarma, Lda.",Calmarum_tosse_seca_e_irritativaSolução_oral2_mg_ml.pdf,20240325172602,Calmarum_tosse_seca_e_irritativaSolução_oral2_mg_ml
594522,Dextrometorfano Azevedos,Dextrometorfano,Solução oral,2 mg/ml,"Laboratórios Azevedos - Indústria Farmacêutica, S.A.",Dextrometorfano_AzevedosSolução_oral2_mg_ml.pdf,20240325172602,Dextrometorfano_AzevedosSolução_oral2_mg_ml
40851,Dextrometorfano Tussilene,Dextrometorfano,Solução oral,2 mg/ml,"Laboratórios Azevedos - Indústria Farmacêutica, S.A.",Dextrometorfano_TussileneSolução_oral2_mg_ml.pdf,20240325172602,Dextrometorfano_TussileneSolução_oral2_mg_ml
615563,Dextux,Dextrometorfano,Solução oral,2 mg/ml,"Cuidafarma, Lda.",DextuxSolução_oral2_mg_ml.pdf,20240325172602,DextuxSolução_oral2_mg_ml
2507,Diacol,Dextrometorfano,Xarope,1.8 mg/ml,"Bial - Portela & Cª, S.A.",DiacolXarope1_8_mg_ml.pdf,20240325172602,DiacolXarope1_8_mg_ml
585166,Toceliv,Dextrometorfano,Xarope,2 mg/ml,"Laboratórios Basi - Indústria Farmacêutica, S.A",TocelivXarope2_mg_ml.pdf,20240325172602,TocelivXarope2_mg_ml
9273,Viternum,Di-hexazina,Comprimido,6 mg,"Exeltis Healthcare, S.L.",ViternumComprimido6_mg.pdf,20240325172602,ViternumComprimido6_mg
1026,Bialzepam,Diazepam,Cápsula,3 mg,"Medibial - Produtos Médicos e Farmacêuticos, S.A.",BialzepamCápsula3_mg.pdf,20240325172602,BialzepamCápsula3_mg
1028,Bialzepam,Diazepam,Cápsula,6 mg,"Medibial - Produtos Médicos e Farmacêuticos, S.A.",BialzepamCápsula6_mg.pdf,20240325172602,BialzepamCápsula6_mg
1029,Bialzepam Retard,Diazepam,Cápsula de libertação prolongada,10 mg,"Medibial - Produtos Médicos e Farmacêuticos, S.A.",Bialzepam_RetardCápsula_de_libertação_prolongada10_mg.pdf,20240325172602,Bialzepam_RetardCápsula_de_libertação_prolongada10_mg
4847,Diazepam Labesfal,Diazepam,Comprimido,10 mg,"Generis Farmacêutica, S.A.",Diazepam_LabesfalComprimido10_mg.pdf,20240325172602,Diazepam_LabesfalComprimido10_mg
4846,Diazepam Labesfal,Diazepam,Comprimido,5 mg,"Generis Farmacêutica, S.A.",Diazepam_LabesfalComprimido5_mg.pdf,20240325172602,Diazepam_LabesfalComprimido5_mg
4848,Diazepam Labesfal,Diazepam,Solução injetável,10 mg/2 ml,"Labesfal - Laboratórios Almiro, S.A.",Diazepam_LabesfalSolução_injetável10_mg_2_ml.pdf,20240325172603,Diazepam_LabesfalSolução_injetável10_mg_2_ml
55472,Diazepam Pharmakern,Diazepam,Comprimido,10 mg,"Pharmakern Portugal - Produtos Farmacêuticos, Sociedade Unipessoal, Lda.",Diazepam_PharmakernComprimido10_mg.pdf,20240325172603,Diazepam_PharmakernComprimido10_mg
55471,Diazepam Pharmakern,Diazepam,Comprimido,5 mg,"Pharmakern Portugal - Produtos Farmacêuticos, Sociedade Unipessoal, Lda.",Diazepam_PharmakernComprimido5_mg.pdf,20240325172603,Diazepam_PharmakernComprimido5_mg
2528,Diazepam Ratiopharm 10 mg Comprimidos MG,Diazepam,Comprimido,10 mg,"Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.",Diazepam_Ratiopharm_10_mg_Comprimidos_MGComprimido10_mg.pdf,20240325172603,Diazepam_Ratiopharm_10_mg_Comprimidos_MGComprimido10_mg
2527,Diazepam Ratiopharm 5 mg Comprimidos MG,Diazepam,Comprimido,5 mg,"Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.",Diazepam_Ratiopharm_5_mg_Comprimidos_MGComprimido5_mg.pdf,20240325172603,Diazepam_Ratiopharm_5_mg_Comprimidos_MGComprimido5_mg
8085,Stesolid,Diazepam,Solução retal,10 mg/2.5 ml,"Generis Farmacêutica, S.A.",StesolidSolução_retal10_mg_2_5_ml.pdf,20240325172603,StesolidSolução_retal10_mg_2_5_ml
8084,Stesolid,Diazepam,Solução retal,5 mg/2.5 ml,"Generis Farmacêutica, S.A.",StesolidSolução_retal5_mg_2_5_ml.pdf,20240325172603,StesolidSolução_retal5_mg_2_5_ml
8895,Unisedil,Diazepam,Comprimido,5 mg,"Merck, S.A.",UnisedilComprimido5_mg.pdf,20240325172603,UnisedilComprimido5_mg
8988,Valium,Diazepam,Comprimido,10 mg,Atnahs Pharma Netherlands B.V.,ValiumComprimido10_mg.pdf,20240325172603,ValiumComprimido10_mg
8989,Valium,Diazepam,Comprimido,5 mg,Atnahs Pharma Netherlands B.V.,ValiumComprimido5_mg.pdf,20240325172603,ValiumComprimido5_mg
32077,InductOs,Dibotermina alfa,"Pó, solvente e matriz para matriz para implantação",1.5 mg/ml,Medtronic BioPharma B.V.,InductOsPó__solvente_e_matriz_para_matriz_para_implantação1_5_mg_ml.pdf,20240325172603,InductOsPó__solvente_e_matriz_para_matriz_para_implantação1_5_mg_ml
1500,Cataflam,Diclofenac,Comprimido revestido,50 mg,"Laboratório Normal - Produtos Farmacêuticos, Lda.",CataflamComprimido_revestido50_mg.pdf,20240325172603,CataflamComprimido_revestido50_mg
682284,Dagesil,Diclofenac,Comprimido gastrorresistente,50 mg,"Laboratórios Basi - Indústria Farmacêutica, S.A",DagesilComprimido_gastrorresistente50_mg.pdf,20240325172603,DagesilComprimido_gastrorresistente50_mg
41049,Dagesil,Diclofenac,Gel,10 mg/g,"Laboratórios Basi - Indústria Farmacêutica, S.A",DagesilGel10_mg_g.pdf,20240325172603,DagesilGel10_mg_g
688024,Dagesil MG,Diclofenac,Solução injetável ou para perfusão,75 mg/3 ml,"Laboratórios Basi - Indústria Farmacêutica, S.A",Dagesil_MGSolução_injetável_ou_para_perfusão75_mg_3_ml.pdf,20240325172604,Dagesil_MGSolução_injetável_ou_para_perfusão75_mg_3_ml
35245,Diclodent 0.074% Solução Bucal,Diclofenac,Solução bucal,0.74 mg/ml,"Laboratórios Atral, S.A.",Diclodent_0_074%_Solução_BucalSolução_bucal0_74_mg_ml,20240325172604,Diclodent_0_074%_Solução_BucalSolução_bucal0_74_mg_ml
29143,Diclofenac Alter 50 mg Comprimidos MG,Diclofenac,Comprimido revestido,50 mg,"Alter, S.A.",Diclofenac_Alter_50_mg_Comprimidos_MGComprimido_revestido50_mg.pdf,20240325172604,Diclofenac_Alter_50_mg_Comprimidos_MGComprimido_revestido50_mg
41911,Diclofenac Azevedos MG,Diclofenac,Gel,10 mg/g,"Laboratórios Azevedos - Indústria Farmacêutica, S.A.",Diclofenac_Azevedos_MGGel10_mg_g.pdf,20240325172609,Diclofenac_Azevedos_MGGel10_mg_g
571380,Diclofenac Bluepharma,Diclofenac,Gel,10 mg/g,Bluepharma Genéricos - Comércio de Medicamentos S.A.,Diclofenac_BluepharmaGel10_mg_g.pdf,20240325172609,Diclofenac_BluepharmaGel10_mg_g
654926,Diclofenac Farmoz,Diclofenac,Emplastro medicamentoso,140 mg,"Farmoz - Sociedade Técnico Medicinal, S.A.",Diclofenac_FarmozEmplastro_medicamentoso140_mg.pdf,20240325172609,Diclofenac_FarmozEmplastro_medicamentoso140_mg
38722,Diclofenac Farmoz MG,Diclofenac,Gel,10 mg/g,"Farmoz - Sociedade Técnico Medicinal, S.A.",Diclofenac_Farmoz_MGGel10_mg_g.pdf,20240325172609,Diclofenac_Farmoz_MGGel10_mg_g
29601,Diclofenac Generis 50 mg Comprimidos Revestidos MG,Diclofenac,Comprimido revestido,50 mg,"Generis Farmacêutica, S.A.",Diclofenac_Generis_50_mg_Comprimidos_Revestidos_MGComprimido_revestido50_mg.pdf,20240325172609,Diclofenac_Generis_50_mg_Comprimidos_Revestidos_MGComprimido_revestido50_mg
39212,Diclofenac Germed 10 mg/g Gel MG,Diclofenac,Gel,10 mg/g,"Germed Farmacêutica, Lda.",Diclofenac_Germed_10_mg_g_Gel_MGGel10_mg_g.pdf,20240325172609,Diclofenac_Germed_10_mg_g_Gel_MGGel10_mg_g
56576,Diclofenac Hikma MG,Diclofenac,Solução injetável,75 mg/3 ml,"Hikma Farmacêutica (Portugal), S.A.",Diclofenac_Hikma_MGSolução_injetável75_mg_3_ml.pdf,20240325172609,Diclofenac_Hikma_MGSolução_injetável75_mg_3_ml
10813,Diclofenac Labesfal MG,Diclofenac,Cápsula de libertação prolongada,100 mg,"Generis Farmacêutica, S.A.",Diclofenac_Labesfal_MGCápsula_de_libertação_prolongada100_mg.pdf,20240325172609,Diclofenac_Labesfal_MGCápsula_de_libertação_prolongada100_mg
10811,Diclofenac Labesfal MG,Diclofenac,Comprimido gastrorresistente,50 mg,"Generis Farmacêutica, S.A.",Diclofenac_Labesfal_MGComprimido_gastrorresistente50_mg.pdf,20240325172609,Diclofenac_Labesfal_MGComprimido_gastrorresistente50_mg
2549,Diclofenac Mylan,Diclofenac,Cápsula de libertação prolongada,100 mg,"Mylan, Lda.",Diclofenac_MylanCápsula_de_libertação_prolongada100_mg.pdf,20240325172609,Diclofenac_MylanCápsula_de_libertação_prolongada100_mg
638523,Diclofenac Mylan MG,Diclofenac,Comprimido de libertação prolongada,75 mg,"Mylan, Lda.",Diclofenac_Mylan_MGComprimido_de_libertação_prolongada75_mg.pdf,20240325172610,Diclofenac_Mylan_MGComprimido_de_libertação_prolongada75_mg
10071,Diclofenac Painex,Diclofenac,Gel,10 mg/g,"Generis Farmacêutica, S.A.",Diclofenac_PainexGel10_mg_g.pdf,20240325172610,Diclofenac_PainexGel10_mg_g
49570,Diclofenac Pharmakern MG,Diclofenac,Gel,10 mg/g,"Pharmakern Portugal - Produtos Farmacêuticos, Sociedade Unipessoal, Lda.",Diclofenac_Pharmakern_MGGel10_mg_g.pdf,20240325172610,Diclofenac_Pharmakern_MGGel10_mg_g
614902,Diclofenac Pharmakern,Diclofenac,Gel,20 mg/g,"Pharmakern Portugal - Produtos Farmacêuticos, Sociedade Unipessoal, Lda.",Diclofenac_PharmakernGel20_mg_g.pdf,20240325172610,Diclofenac_PharmakernGel20_mg_g
29796,Diclofenac Ratiopharm MG,Diclofenac,Comprimido gastrorresistente,50 mg,"Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.",Diclofenac_Ratiopharm_MGComprimido_gastrorresistente50_mg.pdf,20240325172610,Diclofenac_Ratiopharm_MGComprimido_gastrorresistente50_mg
32425,Diclofenac Reumolide MG,Diclofenac,Gel,10 mg/g,"Generis Farmacêutica, S.A.",Diclofenac_Reumolide_MGGel10_mg_g.pdf,20240325172610,Diclofenac_Reumolide_MGGel10_mg_g
38466,Diclofenac Sandoz 10 mg/g Gel MG,Diclofenac,Gel,10 mg/g,"Sandoz Farmacêutica, Lda.",Diclofenac_Sandoz_10_mg_g_Gel_MGGel10_mg_g.pdf,20240325172610,Diclofenac_Sandoz_10_mg_g_Gel_MGGel10_mg_g
13642,Diclofenac Sandoz 50 mg Comprimidos revestidos MG,Diclofenac,Comprimido revestido,50 mg,"Sandoz Farmacêutica, Lda.",Diclofenac_Sandoz_50_mg_Comprimidos_revestidos_MGComprimido_revestido50_mg.pdf,20240325172610,Diclofenac_Sandoz_50_mg_Comprimidos_revestidos_MGComprimido_revestido50_mg
43272,Diclofenac Vitoria MG,Diclofenac,Gel,10 mg/g,"Faes Farma Portugal, S.A.",Diclofenac_Vitoria_MGGel10_mg_g.pdf,20240325172610,Diclofenac_Vitoria_MGGel10_mg_g
589646,Diclofenac Wellsmed MG,Diclofenac,Gel,10 mg/g,"Laboratórios Azevedos - Indústria Farmacêutica, S.A.",Diclofenac_Wellsmed_MGGel10_mg_g.pdf,20240325172610,Diclofenac_Wellsmed_MGGel10_mg_g
51237,Diclogel,Diclofenac,Gel,10 mg/g,"Labialfarma - Laboratório de Produtos Farmacêuticos e Nutracêuticos, S.A.",DiclogelGel10_mg_g.pdf,20240325172610,DiclogelGel10_mg_g
601282,Diflac,Diclofenac,Gel,10 mg/g,"Labialfarma - Laboratório de Produtos Farmacêuticos e Nutracêuticos, S.A.",DiflacGel10_mg_g.pdf,20240325172610,DiflacGel10_mg_g
659344,Dimobil,Diclofenac,Gel,50 mg/g,Look Ahead SRL,DimobilGel50_mg_g.pdf,20240325172610,DimobilGel50_mg_g
15538,Dolacen,Diclofenac,Solução injetável,75 mg/2 ml,"Labesfal - Laboratórios Almiro, S.A.",DolacenSolução_injetável75_mg_2_ml.pdf,20240325172610,DolacenSolução_injetável75_mg_2_ml
29709,Dolifenil,Diclofenac,Gel,10 mg/g,"Faes Farma Portugal, S.A.",DolifenilGel10_mg_g.pdf,20240325172610,DolifenilGel10_mg_g
30925,Fenac-Gel,Diclofenac,Gel,10 mg/g,"Sidefarma - Sociedade Industrial de Expansão Farmacêutica, S.A.",Fenac_GelGel10_mg_g.pdf,20240325172611,Fenac_GelGel10_mg_g
3347,Fenil-V,Diclofenac,Comprimido gastrorresistente,50 mg,"Faes Farma Portugal, S.A.",Fenil_VComprimido_gastrorresistente50_mg.pdf,20240325172611,Fenil_VComprimido_gastrorresistente50_mg
3348,Fenil-V,Diclofenac,Solução injetável,75 mg/2 ml,"Faes Farma Portugal, S.A.",Fenil_VSolução_injetável75_mg_2_ml.pdf,20240325172611,Fenil_VSolução_injetável75_mg_2_ml
3349,Fenil-V,Diclofenac,Supositório,100 mg,"Faes Farma Portugal, S.A.",Fenil_VSupositório100_mg.pdf,20240325172611,Fenil_VSupositório100_mg
3345,Fenil-V Dispersivel,Diclofenac,Comprimido dispersível,46.5 mg,"Faes Farma Portugal, S.A.",Fenil_V_DispersivelComprimido_dispersível46_5_mg.pdf,20240325172611,Fenil_V_DispersivelComprimido_dispersível46_5_mg
3350,Fenil-V Retard,Diclofenac,Cápsula de libertação prolongada,100 mg,"Faes Farma Portugal, S.A.",Fenil_V_RetardCápsula_de_libertação_prolongada100_mg.pdf,20240325172611,Fenil_V_RetardCápsula_de_libertação_prolongada100_mg
29866,Flector Tissugel,Diclofenac,Emplastro medicamentoso,140 mg,"BGP Products, Unipessoal Lda.",Flector_TissugelEmplastro_medicamentoso140_mg.pdf,20240325172611,Flector_TissugelEmplastro_medicamentoso140_mg
600682,Holactiv,Diclofenac,Gel,10 mg/g,"Holon, S.A.",HolactivGel10_mg_g.pdf,20240325172611,HolactivGel10_mg_g
643904,Olfen Artic,Diclofenac,Gel,10 mg/g,"Teva Pharma - Produtos Farmacêuticos, Lda.",Olfen_ArticGel10_mg_g.pdf,20240325172611,Olfen_ArticGel10_mg_g
643905,Olfenex Artic,Diclofenac,Gel,20 mg/g,"Teva Pharma - Produtos Farmacêuticos, Lda.",Olfenex_ArticGel20_mg_g.pdf,20240325172611,Olfenex_ArticGel20_mg_g
35111,Solaraze,Diclofenac,Gel,30 mg/g,"Almirall, S.A",SolarazeGel30_mg_g.pdf,20240325172611,SolarazeGel30_mg_g
9289,Voltaren,Diclofenac,"Colírio, solução",1 mg/ml,Laboratoires Théa,VoltarenColírio__solução1_mg_ml.pdf,20240325172611,VoltarenColírio__solução1_mg_ml
9290,Voltaren,Diclofenac,Comprimido gastrorresistente,50 mg,"Novartis Farma - Produtos Farmacêuticos, S.A.",VoltarenComprimido_gastrorresistente50_mg.pdf,20240325172611,VoltarenComprimido_gastrorresistente50_mg
9291,Voltaren,Diclofenac,Solução injetável,75 mg/3 ml,"Novartis Farma - Produtos Farmacêuticos, S.A.",VoltarenSolução_injetável75_mg_3_ml.pdf,20240325172611,VoltarenSolução_injetável75_mg_3_ml
9292,Voltaren,Diclofenac,Supositório,100 mg,"Novartis Farma - Produtos Farmacêuticos, S.A.",VoltarenSupositório100_mg.pdf,20240325172612,VoltarenSupositório100_mg
48243,Voltaren 25,Diclofenac,Cápsula mole,25 mg,"Haleon Portugal, Lda.",Voltaren_25Cápsula_mole25_mg.pdf,20240325172612,Voltaren_25Cápsula_mole25_mg
9293,Voltaren 75,Diclofenac,Comprimido de libertação prolongada,75 mg,"Novartis Farma - Produtos Farmacêuticos, S.A.",Voltaren_75Comprimido_de_libertação_prolongada75_mg.pdf,20240325172612,Voltaren_75Comprimido_de_libertação_prolongada75_mg
10908,Voltaren Colírio Unidoses,Diclofenac,"Colírio, solução",0.3 mg/0.3 ml,Laboratoires Théa,Voltaren_Colírio_UnidosesColírio__solução0_3_mg_0_3_ml.pdf,20240325172612,Voltaren_Colírio_UnidosesColírio__solução0_3_mg_0_3_ml
9295,Voltaren Emulgel,Diclofenac,Gel,10 mg/g,"Haleon Portugal, Lda.",Voltaren_EmulgelGel10_mg_g.pdf,20240325172612,Voltaren_EmulgelGel10_mg_g
51997,Voltaren Emulgelex,Diclofenac,Gel,20 mg/g,"Haleon Portugal, Lda.",Voltaren_EmulgelexGel20_mg_g.pdf,20240325172612,Voltaren_EmulgelexGel20_mg_g
55349,Voltaren Plast,Diclofenac,Emplastro medicamentoso,140 mg,"Haleon Portugal, Lda.",Voltaren_PlastEmplastro_medicamentoso140_mg.pdf,20240325172612,Voltaren_PlastEmplastro_medicamentoso140_mg
9297,Voltaren Rapid,Diclofenac,Comprimido revestido,50 mg,"Novartis Farma - Produtos Farmacêuticos, S.A.",Voltaren_RapidComprimido_revestido50_mg.pdf,20240325172612,Voltaren_RapidComprimido_revestido50_mg
9299,Voltaren Retard,Diclofenac,Comprimido de libertação prolongada,100 mg,"Novartis Farma - Produtos Farmacêuticos, S.A.",Voltaren_RetardComprimido_de_libertação_prolongada100_mg.pdf,20240325172612,Voltaren_RetardComprimido_de_libertação_prolongada100_mg
588675,Wergyl,Diclofenac,Gel,10 mg/g,"Labialfarma - Laboratório de Produtos Farmacêuticos e Nutracêuticos, S.A.",WergylGel10_mg_g.pdf,20240325172612,WergylGel10_mg_g
595327,Zaflex,Diclofenac,Gel,10 mg/g,"Cuidafarma, Lda.",ZaflexGel10_mg_g.pdf,20240325172612,ZaflexGel10_mg_g
555,Arthrotec,Diclofenac + Misoprostol,Comprimido,50 mg + 0.2 mg,"Laboratórios Pfizer, Lda.",ArthrotecComprimido50_mg_+_0_2_mg.pdf,20240325172612,ArthrotecComprimido50_mg_+_0_2_mg
556,Arthrotec 75,Diclofenac + Misoprostol,Comprimido de libertação modificada,75 mg + 0.2 mg,"Laboratórios Pfizer, Lda.",Arthrotec_75Comprimido_de_libertação_modificada75_mg_+_0_2_mg.pdf,20240325172612,Arthrotec_75Comprimido_de_libertação_modificada75_mg_+_0_2_mg
579960,Xofigo,Dicloreto de rádio (223Ra),Solução injetável,1.100 kBq/ml,Bayer AG,XofigoSolução_injetável1_100_kBq_ml.pdf,20240325172612,XofigoSolução_injetável1_100_kBq_ml
2880,Duphaston,Didrogesterona,Comprimido revestido por película,10 mg,"BGP Products, Unipessoal Lda.",DuphastonComprimido_revestido_por_película10_mg.pdf,20240325172613,DuphastonComprimido_revestido_por_película10_mg
30629,Femoston 1/5,Didrogesterona + Estradiol,Comprimido revestido,5 mg + 1 mg,"BGP Products, Unipessoal Lda.",Femoston_1_5Comprimido_revestido5_mg_+_1_mg.pdf,20240325172613,Femoston_1_5Comprimido_revestido5_mg_+_1_mg
3329,Femoston 2/10,Didrogesterona + Estradiol,Comprimido revestido por película,(10 mg + 2 mg) + (2 mg),"BGP Products, Unipessoal Lda.",Femoston_2_10Comprimido_revestido_por_película10_mg_+_2_mg_+_2_mg.pdf,20240325172613,Femoston_2_10Comprimido_revestido_por_película10_mg_+_2_mg_+_2_mg
646684,Endovelle MG,Dienogest,Comprimido,2 mg,"Exeltis Healthcare, S.L.",Endovelle_MGComprimido2_mg.pdf,20240325172613,Endovelle_MGComprimido2_mg
648548,Metrius MG,Dienogest,Comprimido,2 mg,"LifeWell - Pharmaceutical & Healthcare, Lda.",Metrius_MGComprimido2_mg.pdf,20240325172613,Metrius_MGComprimido2_mg
48492,Visanne,Dienogest,Comprimido,2 mg,"Bayer Portugal, Lda.",VisanneComprimido2_mg.pdf,20240325172613,VisanneComprimido2_mg
629402,Zafril MG,Dienogest,Comprimido,2 mg,"Gedeon Richter, Plc.",Zafril_MGComprimido2_mg.pdf,20240325172613,Zafril_MGComprimido2_mg
574221,Amelye MG,Dienogest + Etinilestradiol,Comprimido revestido por película,2 mg + 0.03 mg,"Laboratoires Bailleul, S.A.",Amelye_MGComprimido_revestido_por_película2_mg_+_0_03_mg.pdf,20240325172613,Amelye_MGComprimido_revestido_por_película2_mg_+_0_03_mg
45309,Denille MG,Dienogest + Etinilestradiol,Comprimido revestido por película,2 mg + 0.03 mg,"Laboratórios EFFIK, Sociedade Unipessoal, Lda.",Denille_MGComprimido_revestido_por_película2_mg_+_0_03_mg.pdf,20240325172613,Denille_MGComprimido_revestido_por_película2_mg_+_0_03_mg
656444,Eubelle MG,Dienogest + Etinilestradiol,Comprimido revestido por película,2 mg + 0.03 mg,"LifeWell - Pharmaceutical & Healthcare, Lda.",Eubelle_MGComprimido_revestido_por_película2_mg_+_0_03_mg.pdf,20240325172613,Eubelle_MGComprimido_revestido_por_película2_mg_+_0_03_mg
610822,Serisima Diário MG,Dienogest + Etinilestradiol,Comprimido revestido por película,2 mg + 0.03 mg,"Exeltis Healthcare, S.L.",Serisima_Diário_MGComprimido_revestido_por_película2_mg_+_0_03_mg.pdf,20240325172613,Serisima_Diário_MGComprimido_revestido_por_película2_mg_+_0_03_mg
54006,Sibilla MG,Dienogest + Etinilestradiol,Comprimido revestido por película,2 mg + 0.03 mg,"Gedeon Richter, Plc.",Sibilla_MGComprimido_revestido_por_película2_mg_+_0_03_mg.pdf,20240325172613,Sibilla_MGComprimido_revestido_por_película2_mg_+_0_03_mg
33195,Valette,Dienogest + Etinilestradiol,Comprimido revestido,2 mg + 0.03 mg,"Bayer Portugal, Lda.",ValetteComprimido_revestido2_mg_+_0_03_mg.pdf,20240325172613,ValetteComprimido_revestido2_mg_+_0_03_mg
45896,Qlaira,Dienogest + Valerato de estradiol,Comprimido revestido por película,Associação,"Bayer Portugal, Lda.",QlairaComprimido_revestido_por_películaAssociação.pdf,20240325172613,QlairaComprimido_revestido_por_películaAssociação
894,Benaderma,Difenidramina,Gel,20 mg/g,"Generis Farmacêutica, S.A.",BenadermaGel20_mg_g.pdf,20240325172614,BenadermaGel20_mg_g
905,Benergina,Difenidramina,Pomada,12.5 mg/g,"Moreno II - Produtos de Saúde, Lda.",BenerginaPomada12_5_mg_g,20240325172614,BenerginaPomada12_5_mg_g
2842,Drenoflux,Difenidramina,Xarope,2.8 mg/ml,"Decomed Farmacêutica, Lda.",DrenofluxXarope2_8_mg_ml.pdf,20240325172614,DrenofluxXarope2_8_mg_ml
597142,Nytol Noite,Difenidramina,Comprimido,50 mg,"Perrigo Portugal, Lda.",Nytol_NoiteComprimido50_mg.pdf,20240325172614,Nytol_NoiteComprimido50_mg
937,Benylin,Difenidramina + Levomentol,Xarope,2.8 mg/ml + 0.4 mg/ml,"Johnson & Johnson, Lda.",BenylinXarope2_8_mg_ml_+_0_4_mg_ml.pdf,20240325172614,BenylinXarope2_8_mg_ml_+_0_4_mg_ml
896,Benaderma Calm,Difenidramina + Óxido de zinco + Cânfora,Creme,10 mg/g + 79.2 mg/g + 1 mg/g,"Generis Farmacêutica, S.A.",Benaderma_CalmCreme10_mg_g_+_79_2_mg_g_+_1_mg_g.pdf,20240325172614,Benaderma_CalmCreme10_mg_g_+_79_2_mg_g_+_1_mg_g
